Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Логин,1000,989,841,1521,1963,2658,576,3640,"0,000%","4,59472","22,60","5,11"
Получить форму пользователя,1000,117,104,170,185,229,81,421,"0,000%","4,60910","20,51","2,17"
/login-54,1000,77,72,88,133,156,62,375,"0,000%","4,60946","7,67","1,71"
Послать форму пользователя,1000,120,107,165,193,272,84,540,"0,000%","4,60861","1,72","2,88"
Список пользователей,2000,105,95,145,163,212,76,598,"0,000%","9,20162","27,85","4,99"
Список интересов пользователя 31,3000,91,84,118,143,181,68,504,"0,000%","13,80237","5,94","6,23"
Список друзей,1000,103,94,138,163,209,76,508,"0,000%","4,60813","12,04","2,15"
Логаут,1000,153,149,178,206,234,127,280,"0,000%","4,60583","11,41","4,87"
Индекс,1000,76,74,86,94,143,62,171,"0,000%","4,60564","9,38","2,09"
TOTAL,12000,177,94,199,775,1420,62,3640,"0,000%","54,84937","118,28","31,97"
