Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Логин,1000,989,576,3640,"440,06","0,000%","4,59472","22,60","5,11","5037,0"
Получить форму пользователя,1000,117,81,421,"34,09","0,000%","4,60910","20,51","2,17","4556,0"
/login-54,1000,77,62,375,"21,43","0,000%","4,60946","7,67","1,71","1703,0"
Послать форму пользователя,1000,120,84,540,"44,37","0,000%","4,60861","1,72","2,88","383,0"
Список пользователей,2000,105,76,598,"31,61","0,000%","9,20162","27,85","4,99","3099,0"
Список интересов пользователя 31,3000,91,68,504,"26,96","0,000%","13,80237","5,94","6,23","441,0"
Список друзей,1000,103,76,508,"31,80","0,000%","4,60813","12,04","2,15","2676,0"
Логаут,1000,153,127,280,"22,04","0,000%","4,60583","11,41","4,87","2536,0"
Индекс,1000,76,62,171,"13,17","0,000%","4,60564","9,38","2,09","2086,0"
TOTAL,12000,177,62,3640,"278,17","0,000%","54,84937","118,28","31,97","2208,2"
