Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TG: Svn.Su DayBook:Admin,8000,169,144,302,314,357,135,652,"0,000%","13,20398","50,48","27,28"
TG: Svn.Su DayBook:Auth form,8000,55,51,57,64,218,46,524,"0,000%","13,21357","41,31","8,86"
TG: Svn.Su DayBook:Login 1,8000,268,240,402,412,457,225,863,"0,000%","13,20572","27,37","49,57"
TG: Svn.Su DayBook:Admin Welcome 1,8000,124,117,138,163,285,102,584,"0,000%","13,20860","313,58","9,45"
TG: Svn.Su DayBook:Admin welcome 2,8000,62,50,61,212,228,45,398,"0,000%","13,20934","6,86","14,83"
TG: Svn.Su DayBook:Admin by day 1,8000,59,53,62,71,225,48,423,"0,000%","13,20928","43,89","9,55"
TG: Svn.Su DayBook:Admin by day 2,8000,63,56,67,76,227,49,613,"0,000%","13,20925","20,60","15,01"
TG: Svn.Su DayBook:Admin by day 3,8000,250,231,358,405,442,194,789,"0,000%","13,20598","311,07","32,29"
TG: Svn.Su DayBook:Welcome 2,8000,131,117,156,274,300,102,499,"0,000%","13,20814","299,20","8,89"
TOTAL,72000,131,113,250,288,414,45,863,"0,000%","118,61106","1111,95","175,37"
