Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
TG: Svn.Su DayBook:Admin,8000,169,135,652,"58,40","0,000%","13,20398","50,48","27,28","3914,8"
TG: Svn.Su DayBook:Auth form,8000,55,46,524,"26,53","0,000%","13,21357","41,31","8,86","3201,6"
TG: Svn.Su DayBook:Login 1,8000,268,225,863,"64,48","0,000%","13,20572","27,37","49,57","2122,5"
TG: Svn.Su DayBook:Admin Welcome 1,8000,124,102,584,"31,03","0,000%","13,20860","313,58","9,45","24310,3"
TG: Svn.Su DayBook:Admin welcome 2,8000,62,45,398,"42,69","0,000%","13,20934","6,86","14,83","531,4"
TG: Svn.Su DayBook:Admin by day 1,8000,59,48,423,"31,32","0,000%","13,20928","43,89","9,55","3402,5"
TG: Svn.Su DayBook:Admin by day 2,8000,63,49,613,"31,45","0,000%","13,20925","20,60","15,01","1597,2"
TG: Svn.Su DayBook:Admin by day 3,8000,250,194,789,"61,09","0,000%","13,20598","311,07","32,29","24120,9"
TG: Svn.Su DayBook:Welcome 2,8000,131,102,499,"44,75","0,000%","13,20814","299,20","8,89","23196,7"
TOTAL,72000,131,45,863,"90,31","0,000%","118,61106","1111,95","175,37","9599,8"
