procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 3  0        49752     14448896      1338856     11027264    0    0    59    47    5    3   5   1  91   3   0
 0  0        49752     14435504      1338856     11039848    0    0     0     0  996 2598   3   1  96   0   0
 0  0        49752     14441424      1338856     11032660    0    0     0     0 1231 2672   3   1  96   0   0
 0  0        49752     14441556      1338856     11032384    0    0     0     0 1136 2215   2   1  97   0   0
 0  0        49752     14446052      1338856     11027932    0    0     0     0 1190 2845   3   1  97   0   0
 0  0        49752     14445996      1338856     11027652    0    0     0     0 1004 2119   1   1  98   0   0
 0  0        49752     14445648      1338860     11027944    0    0     0    24 1063 2186   2   1  96   1   0
 0  0        49752     14445148      1338860     11027620    0    0     0     0 1254 2777   3   1  96   0   0
 0  0        49752     14438472      1338860     11034788    0    0     0     0 1056 2336   1   1  98   0   0
 1  0        49752     14437868      1338860     11035300    0    0     0     8 1141 5781   3   1  96   0   0
 0  0        49752     14438596      1338860     11034508    0    0     0     0  976 2244   2   1  97   0   0
 0  0        49752     14438500      1338860     11034508    0    0     0   148 1022 2073   1   1  98   0   0
 0  0        49752     14437704      1338864     11034508    0    0     0    64  993 2120   1   1  96   2   0
 0  0        49752     14437264      1338864     11035020    0    0     0     0 1078 2310   1   1  98   0   0
 0  0        49752     14436852      1338864     11035020    0    0     0     0 1234 2779   3   1  96   0   0
 0  0        49752     14437224      1338864     11034788    0    0     0     0 1108 2432   1   1  98   0   0
 0  0        49752     14444192      1338864     11028136    0    0     0    36 1077 2711   3   1  96   1   0
 0  0        49752     14437984      1338864     11034512    0    0     0   172 1114 2285   2   1  97   0   0
 0  0        49752     14437760      1338868     11034512    0    0     0    12  972 2135   2   1  97   1   0
 0  0        49752     14437744      1338868     11035024    0    0     0    36 1184 5878   2   1  97   0   0
 0  0        49752     14437924      1338868     11035024    0    0     0     0 1088 2681   2   1  97   0   0
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 1  0        49752     14437992      1338868     11034792    0    0     0     0 1091 2507   2   0  98   0   0
 2  0        49752     14445684      1338868     11027216    0    0     0    72 1165 2330   3   1  96   0   0
 0  0        49752     14445712      1338868     11027728    0    0    16     0 1013 2245   1   1  98   0   0
 0  0        49752     14445476      1338880     11027708    0    0     0   156 1135 2523   2   1  96   1   0
 0  0        49752     14445744      1338880     11027628    0    0     0     0 1233 2721   3   1  96   0   0
 0  0        49752     14445216      1338880     11028152    0    0     0     0 1166 2631   2   1  96   0   0
 0  0        49752     14444472      1338880     11028152    0    0     0     0 1255 2627   3   1  96   0   0
 0  0        49752     14445216      1338880     11027860    0    0     0     0 1095 2245   2   1  98   0   0
 0  0        49752     14445240      1338880     11027568    0    0     0     0 1149 6098   2   1  98   0   0
 0  0        49752     14438148      1338884     11034528    0    0     0    12 1135 2384   2   1  97   0   0
 0  0        49752     14437776      1338884     11034820    0    0     0     4 1144 2595   2   1  97   0   0
 1  0        49752     14431080      1338884     11041684    0    0     0     0 1217 2812   2   1  97   0   0
 0  0        49752     14431080      1338884     11041684    0    0     0     0 1616 4270   6   1  93   0   0
 0  0        49752     14431064      1338884     11041800    0    0     0    16 1070 2462   2   1  98   0   0
 0  0        49752     14435296      1338884     11037912    0    0     0     0 1769 4817   7   2  92   0   0
 2  0        49752     14402692      1338912     11052808    0    0     0   236 2347 8641   7   3  90   1   0
 5  0        49752     14369772      1338912     11075172    0    0     0     0 2605 11466  10   3  88   0   0
 0  0        49752     14370748      1338916     11078048    0    0     0     0 2312 7669   8   4  89   0   0
 0  0        49752     14378668      1338916     11070452    0    0     0     0 1293 7392   4   1  95   0   0
 0  0        49752     14378932      1338916     11068624    0    0     0     0 1255 3094   4   1  96   0   0
 1  0        49752     14379364      1338916     11069248    0    0     0     0 2798 5837   9   2  88   0   0
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 3  0        49752     14383828      1338920     11064468    0    0     0    16 1156 2772   2   1  96   1   0
 1  0        49752     14389464      1338944     11070492    0    0     0   424 2123 8115   9   3  88   0   0
 1  0        49752     14369352      1338944     11071572    0    0     0     8 2742 13403  12   3  85   0   0
 2  0        49752     14381084      1338972     11059884    0    0     0   256 1717 4628   4   2  94   0   0
 3  0        49752     14381140      1338984     11058216    0    0     0   704 1771 5926   6   2  91   1   0
 0  0        49752     14383124      1338984     11055784    0    0     0   756 1276 2758   2   1  96   0   0
 0  0        49752     14381156      1339004     11053096    0    0     0   236 1390 4467   3   1  94   1   0
 0  0        49752     14384864      1339004     11049228    0    0     0    32 1144 6147   3   1  96   0   0
 2  0        49752     14412728      1339008     11045944    0    0     0     0 2730 9016  12   5  84   0   0
 5  0        49752     14367576      1339012     11076428    0    0   152     0 3698 14998  16   5  79   0   0
 2  0        49752     14334440      1339012     11081468    0    0     0     0 3435 12996  18   5  77   0   0
 0  0        49752     14335784      1339036     11079084    0    0     0   732 2433 8300  11   4  85   0   0
 2  0        49752     14336824      1339040     11079248    0    0     0    12 2113 7432   9   3  87   1   0
 0  0        49752     14336996      1339040     11080052    0    0     0     0 2281 7833  10   3  87   0   0
 0  0        49752     14336460      1339040     11080272    0    0     0     0 2125 7207   8   3  89   0   0
 0  0        49752     14343284      1339040     11073524    0    0     0     0 2594 9287  11   5  85   0   0
 0  0        49752     14346412      1339044     11071204    0    0     0   980 2540 8649  10   4  86   0   0
 0  0        49752     14346316      1339044     11071128    0    0     0     0 1308 6738   3   2  95   0   0
 1  0        49752     14350376      1339048     11069376    0    0     0   356 2052 3432   5   1  94   1   0
 0  0        49752     14353692      1339048     11065588    0    0     0     0 1141 3089   2   1  97   0   0
 0  0        49752     14353540      1339048     11065980    0    0     0     8 1305 3791   3   2  95   0   0
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 3  0        49752     14353660      1339048     11065980    0    0     0     0 1142 2854   2   1  97   0   0
 1  0        49752     14354140      1339048     11065468    0    0     0     0 1643 4933   6   3  92   0   0
 0  0        49752     14350924      1339048     11068580    0    0     0     0 1703 5554   5   3  92   0   0
 0  0        49752     14347644      1339060     11072684    0    0     0   324 1797 6376   7   2  91   1   0
 0  0        49752     14343404      1339068     11076184    0    0     0    72 1428 5293   4   1  95   0   0
 0  0        49752     14344040      1339068     11075168    0    0     0   584 2668 8448  11   4  85   0   0
 0  0        49752     14392488      1339068     11069024    0    0     0     0 3113 12778  12   5  83   0   0
 2  0        49752     14395988      1339068     11065584    0    0     0     0 1907 6556   8   2  90   0   0
 1  0        49752     14414616      1339068     11046008    0    0     0     0 2137 6582   7   3  89   0   0
 0  0        49752     14412428      1339068     11049732    0    0     0  1028 1973 7266   7   3  90   0   0
 0  0        49752     14416536      1339068     11045332    0    0     0    24 1110 2807   2   1  97   0   0
 0  0        49752     14413784      1339068     11049448    0    0     0     0 2380 7135  11   3  86   0   0
 0  0        49752     14425268      1339092     11041532    0    0     0   460 1352 3037   2   1  96   1   0
 0  0        49752     14424936      1339092     11041752    0    0     0     0  953 2267   2   1  97   0   0
 1  0        49752     14431988      1339092     11034172    0    0     0   184 1080 2081   3   1  96   0   0
 4  0        49752     14431920      1339092     11034172    0    0     0  1188 1087 2965   5   1  93   1   0
 0  0        49752     14433228      1339092     11032900    0    0     0     0 1026 4999   1   1  98   0   0
 0  0        49752     14429708      1339092     11036456    0    0     0    72 1085 2425   1   1  98   0   0
 0  0        49752     14430020      1339092     11036076    0    0     0     0 1022 2165   1   1  98   0   0
 0  0        49752     14431848      1339092     11033740    0    0     0     0 1181 2749   2   1  97   0   0
 0  0        49752     14434700      1339096     11031376    0    0     0   676 1079 2705   3   1  97   0   0
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
