procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 4  0        49752     15800392      1329388     10880968    0    0    59    47    4    2   5   1  92   3   0
 3  0        49752     15793044      1329388     10888416    0    0     0     0 1014 6285   3   1  96   0   0
12  0        49752     15445388      1329388     10881240    0    0     0     0 4434 20668  56   4  40   0   0
 1  0        49752     15407196      1329388     10881780    0    0 31248    48 9890 20293  24   2  73   1   0
 1  0        49752     15360948      1329388     10889064    0    0 38000     0 16421 32635  13   1  86   0   0
 0  0        49752     15360420      1329388     10888552    0    0     0     0 1167 2114  11   0  89   0   0
 0  0        49752     15359816      1329388     10888772    0    0     0    16 1257 2471  10   1  89   1   0
 0  0        49752     15359568      1329388     10888772    0    0     0     0 1103 2292   7   1  92   0   0
 0  0        49752     15357708      1329388     10888260    0    0     0     0 1185 2552   8   1  92   0   0
 0  0        49752     15356964      1329388     10888772    0    0     0     0 1099 2109   7   1  92   0   0
 0  0        49752     15363784      1329388     10888772    0    0     0     0 1189 2440   8   1  91   0   0
 2  0        49752     15339000      1329388     10888260    0    0     0     0 1476 6341  13   1  86   0   0
 0  0        49752     15344292      1329392     10881764    0    0     0    12 1229 2321   8   1  91   1   0
 0  0        49752     15337248      1329392     10888772    0    0     0     0 1129 2390   7   1  92   0   0
 0  0        49752     15302156      1329392     10889052    0    0     0     0 1383 3037   9   1  90   0   0
 0  0        49752     15316776      1329392     10882044    0    0     0     0 1206 2650   7   1  92   0   0
 0  0        49752     15316928      1329392     10881096    0    0     0     0 1087 2307   8   0  92   0   0
 0  0        49752     15308744      1329392     10888848    0    0     0     0 1291 2928   8   1  91   0   0
 0  0        49752     15316292      1329396     10881376    0    0     0    68 1297 3183   9   1  90   1   0
 1  0        49752     15308480      1329396     10889068    0    0     0     0 1261 2916   9   1  91   0   0
 1  0        49752     15309108      1329396     10888180    0    0     0     0 1124 2266   7   1  92   0   0
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 5  0        49752     15309084      1329396     10888144    0    0     0     0 1126 6053   7   1  92   0   0
 0  0        49752     15308976      1329396     10888144    0    0     0     0 1123 2172   8   1  92   0   0
 0  0        49752     15308712      1329396     10888136    0    0     0     0 1133 2334   7   0  92   0   0
 0  0        49752     15307984      1329400     10888136    0    0     0   108 1186 2317   7   1  92   0   0
 0  0        49752     15307876      1329400     10888136    0    0     0     0 1170 2322   7   0  92   0   0
