procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 1  0       423024     11324568      1326424     10861016    0    0    55    47    4    3   5   1  92   3   0
 3  1       422000     11324136      1326424     10861100   12    0  5756     0 19298 53288  41   4  54   2   0
 3  2       422000     11323040      1326424     10860868    0    0  4304     0 37253 124207  43   6  46   5   0
 0  0       421232     11322444      1326424     10860884    0    0  3504     0 14388 45526  41   4  55   1   0
 0  0       420976     11321576      1326424     10861152    0    0  2064    40 6387 16262  36   3  60   1   0
18  1       420720     11320164      1326424     10861024    4    0  2996     0 9677 32129  36   3  60   1   0
48  0       420720     11319684      1326432     10860532    0    0  3872    80 9798 25507  39   4  57   1   0
48  0       420208     11319296      1326432     10860464    0    0  3696     0 6102 15052  40   3  56   0   0
 5  0       419696     11316356      1326432     10860444    0    0 18816    60 26524 76707  54   4  41   2   0
 2  7       419184     11316080      1326432     10860508    0    0 22592     0 58547 165969  53   5  35   6   0
 1  0       419184     11315156      1326432     10860496    0    0 26384    12 67049 232533  48   5  36  10   0
 1  1       418928     11315404      1326432     10860548    0    0 24960     0 47656 175115  56   6  28  10   0
10  2       418928     11314608      1326432     10860824    8    0 13016     0 32438 107774  42   7  50   2   0
 8  3       418928     11313756      1326432     10861048    0    0 53536     0 46520 183229  71   5  17   8   0
 5  2       418160     11314264      1326440     10860752    0    0 47728    36 48750 180739  68   4  22   7   0
 0  0       417904     11313680      1326440     10860528    0    0 40960     0 41801 188380  54   4  33   9   0
 1  0       417904     11313544      1326440     10860552    0    0  7456    12 50680 259359  29   9  51  11   0
35  2       417904     11312996      1326440     10860528    0    0  4320     0 10676 42653  39   5  55   1   0
47  4       417904     11312544      1326440     10860812    0    0  3904     0 14885 44820  43   5  51   1   0
50  0       417136     11305504      1326440     10868116    0    0  3408   152 8247 25878  42   4  54   0   0
 0  0       417136     11298676      1326440     10871556    0    0  4112     0 7181 22114  37   3  58   1   0
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
