procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
65 15       384344     10170120      1320440     11392080    0    0    42    47    4    2   5   1  92   3   0
59 20       384344     10170152      1320440     11392264    0    0 51168     8 82126 663670  74  24   0   2   0
72 14       384344     10170600      1320444     11391308    0    0 46768   232 65493 434114  83  17   0   0   0
68 13       384344     10171856      1320460     11392320    0    0 56512   112 60726 385789  84  15   0   1   0
86 16       384344     10170492      1320460     11392260    0    0 47584    40 72382 532511  79  20   0   1   0
80 18       384344     10170092      1320464     11391748    0    0 56256    36 59444 329130  86  14   0   0   0
83 15       384344     10166700      1320464     11392260    0    0 58976    96 62050 406886  83  17   0   1   0
72 19       384344     10169692      1320464     11391760    0    0 48784     0 72183 387571  84  16   0   0   0
76 16       384344     10169088      1320464     11392272    0    0 60624     0 59916 351668  86  14   0   1   0
74 13       384344     10167868      1320464     11392272    0    0 50960     0 66571 455958  81  17   0   1   0
71 12       384344     10167216      1320468     11391760    0    0 42080    12 73604 492577  80  19   0   1   0
84 16       384344     10168408      1320468     11392276    0    0 41456     0 60520 367486  85  15   0   0   0
68 15       384344     10168512      1320468     11391764    0    0 36016     0 70683 419948  83  16   0   0   0
88 15       384344     10167976      1320468     11392276    0    0 38800     0 68447 437984  83  16   0   0   0
99 11       384344     10167816      1320468     11392276    0    0 34704     0 65272 381443  84  15   0   1   0
116  7       384344     10170176      1320468     11391764    0    0 37664     0 68091 426038  82  17   0   1   0
89 15       384344     10167368      1320472     11392276    0    0 43328    28 71511 508328  80  19   0   0   0
86  8       384344     10165524      1320472     11392276    0    0 48304     0 73132 489322  80  19   0   1   0
54 38       384344     10165304      1320472     11392276    0    0 58832     0 56808 321740  85  14   0   1   0
42 34       384344     10167908      1320472     11392276    0    0 63984     0 64914 431664  81  16   0   2   0
75 22       384344     10168168      1320472     11391768    0    0 60080     0 72837 546303  77  18   0   5   0
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
77 28       384344     10167680      1320476     11392280    0    0 57296    32 67440 396929  82  17   0   1   0
62 31       384344     10166176      1320476     11392280    0    0 58656    36 68705 391683  84  15   0   1   0
31 30       384344     10168624      1320476     11392280    0    0 53936   276 64455 436194  82  17   0   1   0
92 15       384344     10168588      1320476     11392280    0    0 54640     0 63938 389195  83  15   0   2   0
83 18       384344     10171004      1320476     11391880    0    0 55744     0 61575 400146  83  16   0   1   0
76 15       384344     10170632      1320484     11392392    0    0 40544   208 69465 424917  83  16   0   1   0
86 18       384344     10169108      1320488     11392392    0    0 54320    20 62739 308908  86  14   0   1   0
33 20       384344     10168096      1320488     11392392    0    0 57328     0 72057 500479  80  18   0   2   0
55 25       384344     10169784      1320488     11392392    0    0 46304     0 78491 615519  74  26   0   0   0
61 24       384344     10167616      1320488     11391884    0    0 58448     0 68533 419640  81  17   0   2   0
53 26       384344     10168040      1320488     11392392    0    0 50864     8 70501 521394  79  20   0   1   0
82 17       384344     10169128      1320488     11392392    0    0 60496     8 59566 359146  83  16   0   1   0
87 15       384088     10171408      1320504     11392396    0    0 53872   280 65049 382275  84  16   0   1   0
62 32       384088     10169392      1320504     11392396    0    0 45296     0 70338 406439  82  16   0   1   0
68 25       384088     10169904      1320504     11391888    0    0 44880     0 63218 329422  85  15   0   0   0
73 26       384088     10169888      1320504     11392400    0    0 50816   208 66770 438594  81  18   0   1   0
95 13       384088     10163112      1320512     11401052    0    0 55472    84 64957 406008  83  17   0   0   0
69 28       384088     10161960      1320516     11402360    0    0 39072    20 58126 348536  84  14   0   1   0
88 16       384088     10162364      1320516     11400312    0    0 61408     0 59842 363803  84  15   0   1   0
102 12       384088     10168440      1320516     11392736    0    0 40240     0 45916 226130  89  11   0   0   0
97 21       384088     10170680      1320536     11389968    0    0 29728   212 45436 300507  85  13   0   1   0
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
92 18       384088     10167944      1320536     11389708    0    0 32976   156 41939 225014  89  10   0   0   0
113  9       384088     10160828      1320536     11395372    0    0 25328    12 45159 287833  86  14   0   0   0
73 20       384088     10159884      1320536     11395492    0    0 34544    12 35033 143195  93   7   0   0   0
105  7       384088     10166016      1320544     11387220    0    0 41120  5440 33628 141744  92   7   0   0   0
72 30       384088     10194792      1320544     11356256    0    0 35888     0 29995 124039  91   8   0   0   0
107 13       384088     10183752      1320544     11364760    0    0 34992     4 37955 162338  91   9   0   0   0
99 14       384088     10169652      1320548     11377648    0    0 31888   436 31113 128710  93   7   0   0   0
80 36       384088     10162420      1320548     11385532    0    0 33504     0 30096 154281  93   6   0   0   0
89 11       384088     10155624      1320548     11386860    0    0 35984 41252 35781 183466  90   9   0   0   0
76 23       384088     10142480      1320560     11387372    0    0 66016    40 55732 346558  83  17   0   1   0
90 15       384088     10140992      1320560     11387372    0    0 62896     0 71132 466560  79  18   0   2   0
53 30       384088     10141256      1320560     11386860    0    0 58032    48 67313 386451  82  16   0   1   0
88 17       384088     10140544      1320560     11387516    0    0 47536   572 58696 394086  83  17   0   0   0
71 18       384088     10142604      1320560     11387268    0    0 59648     0 52670 256141  89  10   0   1   0
73 17       384088     10139248      1320560     11387784    0    0 48496     0 60492 361506  84  15   0   1   0
74 20       384088     10139820      1320560     11388072    0    0 49296   328 66262 483491  76  22   0   1   0
73 20       384088     10140028      1320560     11388084    0    0 41280    12 62648 419291  82  17   0   1   0
72 28       384088     10165240      1320560     11365400    0    0 47872  5264 56038 349794  85  15   0   1   0
69 15       384088     10143232      1320560     11387076    0    0 44976 41252 66613 480354  80  20   0   0   0
63 16       383832     10141196      1320560     11387368    0    0 34992     0 61211 375790  84  15   0   1   0
49 25       383576     10140748      1320560     11387648    0    0 40160     8 59119 412728  82  17   0   1   0
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
78 15       383576     10140036      1320564     11387520    0    0 35024    68 66048 370401  86  14   0   1   0
79 16       383576     10140300      1320568     11387236    0    0 33120   392 71361 449292  83  16   0   1   0
87 15       383576     10133308      1320572     11394648    0    0 51824    68 53531 296919  86  13   0   0   0
87 13       383576     10133324      1320572     11394648    0    0 51632     0 66657 467527  80  18   0   2   0
62 23       383576     10141080      1320572     11386968    0    0 45936   432 53368 350629  85  14   0   1   0
72 17       383576     10141156      1320572     11387480    0    0 43360    24 64471 467838  80  18   1   1   0
60 16       383576     10141500      1320572     11387608    0    0 55504     8 60639 348477  86  14   0   0   0
55 33       383576     10141344      1320572     11387096    0    0 62880     0 64859 399315  84  15   0   1   0
73 13       383576     10140716      1320572     11387608    0    0 45472     0 60155 377198  82  16   1   1   0
52 20       383576     10140724      1320572     11387608    0    0 53888   236 66055 469597  81  18   0   0   0
92 11       383576     10142520      1320572     11387096    0    0 59584    12 57539 392997  84  15   0   1   0
101  7       383576     10142236      1320572     11387388    0    0 48480     0 67721 422419  83  16   0   0   0
90 19       383576     10142348      1320572     11387608    0    0 54176     0 65505 478241  80  18   0   2   0
83 14       383320     10142476      1320580     11387624    0    0 48368   156 77167 613171  76  21   0   3   0
44 28       383320     10142972      1320580     11387388    0    0 50464  2016 64398 441088  81  19   0   1   0
76 16       383320     10142628      1320580     11387608    0    0 45776     0 56914 375388  84  15   0   1   0
86 12       383320     10143104      1320580     11387608    0    0 51120    12 64320 369512  85  15   0   1   0
76 26       383320     10143528      1320580     11387096    0    0 50928     0 57954 268169  89  11   0   0   0
71 17       383320     10143808      1320580     11387608    0    0 50848     0 64264 402921  82  17   0   1   0
61 25       383320     10143496      1320580     11387608    0    0 54272     0 73476 367686  84  16   0   0   0
70 13       383320     10143512      1320580     11387096    0    0 44944    44 76142 519291  79  19   0   1   0
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
92 10       383320     10143080      1320580     11387608    0    0 47936     0 55056 255997  88  12   0   0   0
55 24       383320     10143096      1320580     11387608    0    0 40304    12 64512 388732  84  16   0   0   0
60 18       383320     10143468      1320580     11387096    0    0 45200     0 57219 340061  85  14   0   0   0
75 15       383320     10143188      1320580     11387388    0    0 44928 54688 74957 589156  77  22   0   1   0
63 13       383320     10143856      1320580     11387480    0    0 39120   140 76642 425036  84  16   0   0   0
80 15       383320     10143932      1320580     11387480    0    0 58272     0 68943 430720  84  15   0   1   0
94 14       383320     10143588      1320580     11386968    0    0 45280    12 68387 486179  79  19   0   2   0
60 18       383320     10143392      1320580     11387480    0    0 54224     0 69091 471144  79  20   0   0   0
81 15       383320     10142760      1320580     11387760    0    0 61040     0 60302 348809  84  15   0   1   0
105  5       383320     10141764      1320580     11387248    0    0 38352 35908 70695 507998  78  21   0   1   0
72 23       383320     10141876      1320580     11386852    0    0 47456     0 61183 374880  84  14   0   2   0
74 28       383320     10142096      1320584     11387368    0    0 44960    20 65005 335236  84  15   0   0   0
78 16       383320     10142052      1320584     11387076    0    0 47344     0 72320 498125  80  19   0   1   0
