procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 2  0        50176     15434764      1038460     10532668    0    0    12    52    0    2   4   1  92   3   0
 2  0        50176     15426944      1038460     10540120    0    0     0     0 1072 2746   3   1  96   0   0
 1  0        50176     15426764      1038460     10539840    0    0     0     0 1105 2228   7   0  93   0   0
 1  0        50176     15433944      1038460     10532540    0    0     0     0 1107 2036   8   0  92   0   0
 1  0        50176     15434128      1038460     10532764    0    0     0     4 1209 2228   7   1  93   0   0
 1  0        50176     15434096      1038460     10532764    0    0     0     0 1147 1981   8   1  92   0   0
 1  0        50176     15434144      1038468     10532252    0    0     0    24 1255 2251   8   0  91   1   0
 1  0        50176     15433684      1038468     10532252    0    0     0     0 1233 2212   8   1  92   0   0
 1  0        50176     15433384      1038468     10532252    0    0     0     0 1137 2081   7   1  92   0   0
 1  0        50176     15434028      1038468     10532476    0    0     0    16 1480 3021   8   1  91   0   0
 1  0        50176     15433956      1038468     10532252    0    0     0     0 1315 2587   8   1  91   0   0
 1  0        50176     15432632      1038468     10533068    0    0     0     0 1190 2678   8   0  92   0   0
 1  0        50176     15432608      1038476     10532672    0    0     0    12 1223 2412   7   0  92   1   0
 1  0        50176     15428096      1038476     10537052    0    0     0     0 1293 2673   8   1  91   0   0
 1  0        50176     15427904      1038476     10537796    0    0     0     0 1122 2174   8   0  92   0   0
 1  0        50176     15432656      1038476     10532908    0    0     0     0 1160 2097   8   0  92   0   0
 1  0        50176     15429500      1038484     10536240    0    0     0    44 1324 2832   8   1  91   1   0
 1  0        50176     15429432      1038484     10535992    0    0     0   120 1235 2237   7   0  92   0   0
 1  0        50176     15428944      1038492     10536504    0    0     0    12 1249 2712   7   0  92   1   0
 1  0        50176     15427276      1038492     10537784    0    0     0     8 1339 2822   8   1  91   0   0
 1  0        50176     15427556      1038492     10537784    0    0     0     0 1292 2330   8   0  92   0   0
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 3  0        50176     15427444      1038492     10536616    0    0     0     0 1484 2969   9   1  91   0   0
 1  0        50176     15424776      1038492     10539428    0    0     0    76 1242 2886   8   1  92   0   0
 1  0        50176     15425092      1038492     10539100    0    0     0     0 1242 2554   8   0  92   0   0
 1  0        50176     15428208      1038500     10536180    0    0     0    12 1112 2156   8   0  91   1   0
 1  0        50176     15424300      1038500     10540124    0    0     0     0 1237 2683   7   0  92   0   0
 1  0        50176     15417232      1038500     10547516    0    0     0    20 1324 2745   8   1  91   0   0
 1  0        50176     15421432      1038500     10543300    0    0     0   152 1332 2680   7   1  92   0   0
 1  0        50176     15415120      1038500     10549724    0    0     0     0 1322 2750   8   1  91   0   0
 2  0        50176     15417852      1038500     10547080    0    0     0     8 1486 4138   9   1  90   0   0
 2  0        50176     15415476      1038508     10549580    0    0     0   608 1360 2746   8   1  90   1   0
 1  0        50176     15415452      1038508     10549872    0    0     0     4 1258 2694   8   0  92   0   0
 3  0        50176     15418008      1038508     10547024    0    0     0   124 1371 3929   9   1  90   0   0
 1  0        50176     15413352      1038508     10550864    0    0     0    20 1254 2567   8   1  92   0   0
 1  0        50176     15413900      1038508     10550376    0    0     0   148 1258 2692   8   0  91   0   0
 1  0        50176     15414224      1038508     10549792    0    0     0     0 1202 3456   9   1  91   0   0
 1  0        50176     15418612      1038516     10547048    0    0     0   160 1505 2570   8   1  91   1   0
 1  0        50176     15422208      1038516     10543664    0    0     0     0 1270 2418   7   0  92   0   0
 1  0        50176     15429640      1038516     10536064    0    0     0     0 1265 2531   8   1  91   0   0
 1  0        50176     15429928      1038516     10535784    0    0     0    12 1159 2048   8   0  92   0   0
 1  0        50176     15427936      1038516     10538192    0    0     0     0 1221 2605   8   1  91   0   0
 1  0        50176     15420892      1038516     10545280    0    0     0     0 1254 2830   8   1  92   0   0
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 5  0        50176     15423448      1038524     10542208    0    0     0    12 1140 2254   8   0  92   1   0
 1  0        50176     15429444      1038524     10535784    0    0     0     0 1205 2565   8   1  92   0   0
 1  0        50176     15427168      1038524     10539672    0    0     0     0 2072 2631   9   1  91   0   0
 1  0        50176     15413864      1038532     10539724    0    0     0    48 1669 2772   8   1  90   1   0
 2  0        50176     15522796      1038544     10540016    0    0   928   620 13429 6493  18   2  79   0   0
 2  0        50176     15497372      1038560     10547228    0    0    72   196 8760 12543  20   3  76   0   0
 4  0        50176     15438028      1038616     10542696    0    0     0   412 7834 13577  31   2  66   1   0
 1  0        50176     15308056      1038828     10570752    0    0   132   312 21266 38878  41   7  52   0   0
 1  0        50176     15280760      1038844     10599900    0    0     4  1056 9125 13588  13   4  82   1   0
 2  0        50176     15312496      1038952     10592700    0    0     0   784 1891 3963  12   1  87   0   0
 1  0        50176     15287892      1038988     10593100    0    0     4   216 2011 4631   8   1  91   0   0
 1  0        50176     15278660      1038988     10600520    0    0     0   228 1215 2412   9   0  91   0   0
 2  0        50176     15278088      1039004     10600760    0    0     0   360 1240 2676   8   1  90   1   0
 1  0        50176     15283240      1039012     10602412    0    0     0    68 1449 2455  11   1  88   0   0
 1  0        50176     15282580      1039012     10603036    0    0     0     0 1074 2748   7   1  92   0   0
 1  1        50176     15298840      1039016     10608120    0    0     0    76 4068 3430  13   1  86   0   0
 1  0        50176     15304160      1039020     10614624    0    0     0   196 2319 4960  10   0  89   0   0
 1  0        50176     15310828      1039020     10607688    0    0     0     0 1146 2221   8   1  92   0   0
 1  0        50176     15311244      1039032     10607296    0    0     0    92 1256 2526   7   0  91   1   0
 1  0        50176     15307796      1039048     10610436    0    0     0   112 1391 3223   8   1  91   0   0
 1  0        50176     15307936      1039048     10610436    0    0     0     8 1120 2167   7   0  92   0   0
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 4  0        50176     15325312      1039048     10600428    0    0     0    28 1201 2124   8   0  92   0   0
 1  0        50176     15321640      1039048     10603500    0    0     0     0 1247 2496   8   1  92   0   0
 1  0        50176     15310316      1039048     10615368    0    0     0    48 1279 2596   7   1  92   0   0
 1  0        50176     15316848      1039056     10610696    0    0     0    20 1219 2418   8   0  91   1   0
 1  0        50176     15352188      1039056     10599216    0    0     0     0 1394 2986   8   1  92   0   0
 1  0        50176     15351848      1039060     10599752    0    0     4     8 1278 2854   9   1  91   0   0
 1  0        50176     15356436      1039084     10595688    0    0     0  2604 1314 2775   8   1  90   0   0
 1  0        50176     15348748      1039084     10602868    0    0     0   520 1326 2604   8   1  91   0   0
 1  0        50176     15349004      1039084     10602448    0    0     0   244 1270 2355   7   1  92   0   0
 1  0        50176     15349236      1039092     10602456    0    0     0    24 1143 2187   8   0  91   1   0
 1  0        50176     15348756      1039092     10602968    0    0     0     0 1177 2218   8   0  92   0   0
 1  0        50176     15342980      1039092     10603124    0    0     0     0 1659 3621  11   1  88   0   0
 1  0        50176     15343812      1039108     10603536    0    0     0   348 1595 3259   8   1  91   0   0
 1  0        50176     15343860      1039124     10603228    0    0     0  1800 1441 2202   7   0  92   0   0
 1  0        50176     15344564      1039124     10602728    0    0     0     0 1102 2160   7   1  93   0   0
 1  0        50176     15344408      1039152     10603224    0    0     4  5748 1401 2243   7   1  91   1   0
