procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 3  0        50176      4417300       994552     11301016    0    0    13    52    1    3   3   1  93   3   0
 1  0        50176      4414904       994552     11308716    0    0     0    28 2572 10863   5   3  93   0   0
 3  0        50176      4357848       994564     11298488    0    0     0   152 3756 16529  14   4  81   1   0
 1  0        50176      4061760       994568     11298552    0    0     0    20 4500 19523  35   3  62   1   0
 1  0        50176      4058720       994576     11299500    0    0     0   124 2949 11973  15   1  85   0   0
 2  0        50176      4051348       994576     11306960    0    0     0     0 2810 11622  15   1  85   0   0
 2  0        50176      4051156       994584     11306660    0    0     0    24 2801 11010  14   1  85   1   0
 1  0        50176      4051056       994584     11306256    0    0     0    16 2813 11538  14   1  85   0   0
 1  0        50176      4050040       994584     11306256    0    0     0     0 2757 10956  14   1  85   0   0
 1  0        50176      4048736       994584     11306676    0    0     0 33112 2987 11833  14   1  85   0   0
 1  0        50176      4050640       994584     11306676    0    0     0     0 3084 11303  14   1  85   0   0
 1  0        50176      4052100       994584     11305780    0    0     0     0 2800 11244  14   1  85   0   0
 1  0        50176      4051588       994600     11305768    0    0     0   324 2966 11455  14   1  84   1   0
 1  0        50176      4051092       994600     11305768    0    0     0     0 2892 10991  14   1  85   0   0
 2  0        50176      4058268       994608     11298604    0    0     0    72 2705 11251  14   1  85   0   0
 2  0        50176      4051216       994608     11305940    0    0     0     0 2663 11022  14   1  86   0   0
 3  0        50176      4051268       994608     11306028    0    0     0     0 2675 10655  14   1  85   0   0
 2  0        50176      4061516       994608     11303468    0    0     0     0 2738 11789  14   1  85   0   0
 1  0        50176      4076636       994616     11300868    0    0     0    12 2795 11184  14   1  84   1   0
 1  0        50176      4076652       994620     11300864    0    0     0   788 3046 11673  15   1  85   0   0
 1  0        50176      4076652       994620     11300864    0    0     0    76 2642 10945  14   1  86   0   0
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 5  0        50176      4076404       994620     11300864    0    0     0     0 2788 11063  14   0  86   0   0
 1  0        50176      4076544       994620     11300864    0    0     0   948 2692 10882  14   1  86   0   0
 1  0        50176      4076312       994620     11300864    0    0     0    92 2743 11309  13   1  86   0   0
 1  0        50176      4107468       994628     11301052    0    0     0  1104 2827 11680  14   1  85   1   0
 5  0        50176      4107360       994628     11301256    0    0     0     0 2524 10531  13   0  86   0   0
 1  0        50176      4114304       994628     11294108    0    0     0    20 2479 9921  13   0  86   0   0
 2  0        50176      4114304       994628     11293736    0    0     0     0 2518 9840  14   0  86   0   0
 1  0        50176      4086512       994628     11294020    0    0     0   132 3079 11574  13   1  85   0   0
 1  0        50176      4113560       994628     11294856    0    0     0     4 2691 10442  14   1  85   0   0
 1  0        50176      4113560       994636     11295048    0    0     0    12 2533 10684  14   1  85   1   0
 2  0        50176      4078848       994636     11300856    0    0     0     0 3145 12747  14   1  85   0   0
 1  0        50176      4078584       994676     11300728    0    0     0   456 2787 10870  14   1  85   0   0
 1  0        50176      4077592       994676     11301664    0    0     0     0 2894 11567  15   1  84   0   0
 1  0        50176      4075732       994708     11300348    0    0     0  3308 3179 12262  15   1  83   0   0
 2  0        50176      4081288       994708     11293680    0    0     0   148 2911 12395  15   1  85   0   0
 1  0        50176      4095424       994716     11294216    0    0     0    20 2775 10777  15   1  84   1   0
 1  0        50176      4089188       994716     11300872    0    0     0     0 2773 11262  14   1  86   0   0
 1  0        50176      4090216       994716     11294456    0    0     0     0 2732 10653  14   1  85   0   0
 1  0        50176      4094208       994716     11294236    0    0     0 20508 5187 11961  22   2  76   0   0
 1  0        50176      4087048       994716     11301404    0    0     0     0 2738 10964  15   1  83   0   0
 1  0        50176      4083760       994716     11304476    0    0     0     0 2787 11415  14   1  85   0   0
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 2  0        50176      4093960       994724     11293784    0    0     0    12 2685 10835  14   1  85   1   0
 2  0        50176      4090872       994724     11301404    0    0     0     0 3169 11676  17   1  82   0   0
 1  0        50176      4096100       994724     11297308    0    0     0     0 3151 11843  18   1  81   0   0
 1  0        50176      4088256       994724     11304768    0    0     0    12 2916 11744  15   1  85   0   0
 1  0        50176      4091992       994724     11300768    0    0     0     0 3063 11189  14   0  86   0   0
 1  0        50176      4091628       994724     11301280    0    0     0     0 2746 10750  14   1  85   0   0
 1  0        50176      4091124       994732     11301688    0    0     0    12 2802 11483  14   1  84   1   0
