time;tps;rtps;wtps;bread/s;bwrtn/s;
10:59:00;1.76;0.00;1.76;0.00;25.82;
11:00:00;2.13;0.00;2.13;0.00;31.88;
11:01:00;70.33;68.87;1.46;2668.19;33.81;
11:02:00;63.30;61.88;1.42;2409.64;22.98;
11:03:00;30.29;28.38;1.91;1126.60;28.04;
11:04:00;36.47;35.38;1.09;1399.77;16.27;
11:05:00;7.66;6.76;0.91;269.40;19.22;
11:06:00;3.14;2.27;0.88;84.67;18.65;
11:07:00;1.62;0.38;1.24;14.45;22.21;
11:08:00;3.63;2.47;1.17;98.12;21.73;
11:09:00;1.55;0.12;1.43;4.80;22.93;
11:10:00;4.95;3.80;1.15;150.37;21.60;
11:11:00;0.92;0.00;0.92;0.00;21.74;
11:12:00;1.60;0.00;1.60;0.00;25.20;
11:13:00;0.75;0.00;0.75;0.00;15.50;
