time;all;%user;%nice;%system;%iowait;%steal;%idle
11:00:00;all;5.56;0.00;2.96;0.07;0.00;91.41;
11:01:00;all;6.14;0.00;3.62;26.30;0.00;63.94;
11:02:00;all;8.42;0.00;3.52;23.68;0.00;64.39;
11:03:00;all;8.03;0.00;3.09;13.72;0.00;75.16;
11:04:00;all;21.52;0.00;3.55;11.37;0.00;63.55;
11:05:00;all;32.30;0.00;3.68;2.82;0.00;61.20;
11:06:00;all;35.27;0.00;3.70;1.50;0.00;59.52;
11:07:00;all;73.55;0.00;4.77;0.07;0.00;21.62;
11:08:00;all;94.15;0.00;5.85;0.00;0.00;0.00;
11:09:00;all;94.52;0.00;5.48;0.00;0.00;0.00;
11:10:00;all;92.72;0.00;7.03;0.00;0.00;0.25;
11:11:00;all;91.82;0.00;8.18;0.00;0.00;0.00;
11:12:00;all;91.53;0.00;8.47;0.00;0.00;0.00;
11:13:00;all;57.07;0.00;5.89;0.02;0.00;37.02;
