time;all;%user;%nice;%system;%iowait;%steal;%idle
12:00:00;all;7.21;0.00;4.41;33.55;0.00;54.83;
12:01:00;all;10.74;0.00;3.96;22.30;0.00;62.99;
12:02:00;all;12.72;0.00;3.07;8.81;0.00;75.41;
12:03:00;all;33.76;0.00;3.76;3.36;0.00;59.13;
12:04:00;all;53.24;0.00;4.31;1.27;0.00;41.18;
12:05:00;all;56.00;0.00;4.75;1.93;0.00;37.32;
12:06:00;all;74.93;0.00;5.22;0.02;0.00;19.83;
12:06:00;all;96.97;0.00;3.03;0.00;0.00;0.00;
12:07:00;all;94.05;0.02;5.93;0.00;0.00;0.00;
12:08:00;all;94.32;0.00;5.68;0.00;0.00;0.00;
12:09:00;all;92.63;0.00;7.37;0.00;0.00;0.00;
12:10:00;all;90.38;0.00;9.62;0.00;0.00;0.00;
12:11:00;all;90.18;0.00;9.82;0.00;0.00;0.00;
12:12:00;all;88.00;0.00;9.00;0.00;0.00;3.00;
