time;tps;rtps;wtps;bread/s;bwrtn/s;
12:00:00;93.06;91.50;1.56;3432.75;23.86;
12:01:00;78.04;76.84;1.21;3013.38;23.92;
12:02:00;21.05;18.99;2.06;763.90;28.05;
12:03:00;8.79;8.47;0.32;312.48;12.75;
12:04:00;3.98;2.44;1.54;88.23;25.36;
12:05:00;7.16;5.34;1.81;207.53;28.36;
12:06:00;0.92;0.07;0.85;2.14;17.40;
12:06:00;0.00;0.00;0.00;0.00;0.00;
12:07:00;0.56;0.14;0.42;4.34;15.72;
12:08:00;1.05;0.00;1.05;0.00;15.47;
12:09:00;1.57;0.03;1.53;1.07;26.00;
12:10:00;1.60;0.00;1.60;0.00;24.67;
12:11:00;1.83;0.00;1.83;0.00;27.06;
12:12:00;2.22;0.00;2.22;0.00;32.27;
12:13:00;0.91;0.00;0.91;0.00;20.68;
