time;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15;blocked;
12:00:00;1;580;1.71;1.46;2.96;1;
12:01:00;0;580;1.77;1.53;2.89;0;
12:02:00;0;580;1.97;1.65;2.85;0;
12:03:00;1;582;2.44;1.80;2.82;0;
12:04:00;2;582;2.76;2.02;2.83;0;
12:05:00;7;577;2.56;2.09;2.80;0;
12:06:00;70;635;25.11;7.60;4.59;0;
12:06:00;66;635;25.11;7.60;4.59;0;
12:07:00;69;637;34.91;13.40;6.77;0;
12:08:00;57;637;43.45;19.85;9.41;0;
12:09:00;537;1135;142.22;47.41;19.25;0;
12:10:00;582;1120;260.51;99.63;39.04;0;
12:11:00;571;1126;265.67;131.21;53.72;0;
12:12:00;0;1118;178.23;133.87;59.69;0;
12:13:00;0;1118;66.09;109.68;56.01;0;
12:14:00;0;1119;25.01;89.93;52.58;0;
